City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
182,Arraial Do Cabo,-22.9661,-42.0278,89.56,62,0,19.57,BR,clear sky
183,Nantucket,41.2835,-70.0995,32.97,67,98,4.25,US,overcast clouds
184,Huanuco,-9.9329,-76.2415,70.5,70,100,5.3,PE,overcast clouds
185,Clyde River,70.4692,-68.5914,-32.57,75,0,5.75,CA,clear sky
186,Sayyan,15.1718,44.3244,55.31,45,39,5.08,YE,scattered clouds
187,Novaya Igirma,57.1334,103.9112,6.46,99,100,3.69,RU,overcast clouds
188,Santa Rosa,14.3122,121.1114,79.11,78,84,13.27,PH,broken clouds
189,Vila Velha,-20.3297,-40.2925,85.95,77,20,8.99,BR,few clouds
190,Ancud,-41.8697,-73.8203,77.23,67,11,6.17,CL,few clouds
191,Sur,22.5667,59.5289,71.49,72,1,8.32,OM,clear sky
192,Hamilton,39.1834,-84.5333,38.75,61,0,5.01,US,clear sky
193,Walvis Bay,-22.9575,14.5053,74.35,68,44,4.61,NA,light rain
194,Juneau,58.3019,-134.4197,42.22,98,100,8.01,US,overcast clouds
195,Arlit,18.7369,7.3853,71.92,8,0,8.3,NE,clear sky
196,Illapel,-31.6308,-71.1653,85.59,34,0,10.38,CL,clear sky
197,Ouro Fino,-22.2831,-46.3692,73.74,86,100,4.7,BR,overcast clouds
198,Yumen,40.2833,97.2,13.24,85,7,14.79,CN,clear sky
199,Luderitz,-26.6481,15.1594,68.59,75,16,4.94,NA,few clouds
200,Umm Lajj,25.0213,37.2685,68.2,48,0,20.6,SA,clear sky
201,Kavieng,-2.5744,150.7967,81.23,78,100,4.65,PG,overcast clouds
202,Peno,56.9262,32.7426,28.92,92,99,10.92,RU,overcast clouds
203,Nioki,-2.7167,17.6833,80.6,59,81,2.35,CD,broken clouds
204,Grants,35.1473,-107.8514,35.83,38,0,13.8,US,clear sky
205,Daru,-9.0763,143.2092,78.21,88,99,6.96,PG,overcast clouds
206,Dzerzhinsk,56.2389,43.4631,13.82,85,100,6.71,RU,overcast clouds
207,Christchurch,-43.5333,172.6333,52.32,91,75,3.44,NZ,broken clouds
208,Hobyo,5.3505,48.5268,76.78,68,36,14.03,SO,scattered clouds
209,Urgut,39.4022,67.2431,29.82,97,94,2.37,UZ,light snow
210,Mecca,21.4267,39.8261,70.05,37,1,6.69,SA,clear sky
211,Santa Maria,-29.6842,-53.8069,79.9,47,75,6.91,BR,broken clouds
212,Prince Rupert,54.3161,-130.3201,46.49,76,100,18.41,CA,overcast clouds
213,Dingle,10.9995,122.6711,73.74,88,37,7.99,PH,scattered clouds
214,Ahipara,-35.1667,173.1667,72.37,98,100,6.76,NZ,overcast clouds
215,Leningradskiy,69.3833,178.4167,-22.81,98,33,6.08,RU,scattered clouds
216,Nikolskoye,59.7035,30.7861,35.87,94,100,12.33,RU,light snow
217,Belaya Gora,68.5333,146.4167,-42.5,100,79,0.94,RU,broken clouds
218,Cape Town,-33.9258,18.4232,70.09,70,20,1.01,ZA,few clouds
219,Pasighat,28.0667,95.3333,53.85,85,50,2.62,IN,scattered clouds
220,Soldato-Aleksandrovskoye,44.2653,43.7561,35.35,82,100,7.9,RU,light snow
221,Karakol,42.4907,78.3936,21.49,73,100,5.3,KG,overcast clouds
222,Atambua,-9.1061,124.8925,74.89,84,91,1.9,ID,overcast clouds
223,Honiara,-9.4333,159.95,78.49,88,100,2.28,SB,overcast clouds
224,Midland,31.9974,-102.0779,54.95,35,0,12.66,US,clear sky
225,Gao,16.6362,1.637,73.45,9,0,9.84,ML,clear sky
226,Elat,29.5581,34.9482,58.84,38,0,6.91,IL,clear sky
227,Lakatoro,-16.0999,167.4164,78.98,85,100,9.66,VU,heavy intensity rain
228,Kenora,49.8167,-94.4337,5.97,72,20,5.75,CA,few clouds
229,Cidreira,-30.1811,-50.2056,81.59,50,24,13.31,BR,few clouds
230,Chokurdakh,70.6333,147.9167,-38.94,100,99,2.42,RU,overcast clouds
